userid,transaction,region,transaction_date,product_category,sell_amount,status,city,age,subscription,raw_times,email,username,price,storeid,quantity,discount,product_id,priority,base_price
U00001,TXN100001,West,2025-06-09,Grocery,5517.0,Refunded,Jaipur,58,Basic,2025-06-09 01:52:00,user1@example.com,user1,2758.5,S068,2,10,P8953,Low,3065
U00002,TXN100002,West,2025-01-04,Grocery,27689.6,Failed,Pune,65,Basic,2025-01-04 12:59:00,user2@example.com,user2,3461.2,S012,8,15,P2984,Low,4072
U00003,TXN100003,East,2025-05-23,Fashion,5490.0,Completed,Bengaluru,38,Basic,2025-05-23 22:51:00,user3@example.com,user3,1098.0,S059,5,25,P3255,Urgent,1464
U00004,TXN100004,East,2025-11-02,Home,2976.0,Completed,Pune,66,Premium,2025-11-02 20:17:00,user4@example.com,user4,744.0,S032,4,20,P2188,Urgent,930
U00005,TXN100005,North,2025-10-24,Home,1193.4,Refunded,Delhi,52,Basic,2025-10-24 16:17:00,user5@example.com,user5,298.35,S087,4,15,P8060,Medium,351
U00006,TXN100006,South,2025-03-31,Books,1179.8,Pending,Hyderabad,64,Free,2025-03-31 23:07:00,user6@example.com,user6,1179.8,S062,1,15,P8384,High,1388
U00007,TXN100007,East,2025-01-30,Fashion,8437.5,Completed,Mumbai,20,Basic,2025-01-30 15:24:00,user7@example.com,user7,1687.5,S063,5,10,P4485,Low,1875
U00008,TXN100008,North,2025-02-04,Sports,1036.8,Pending,Kolkata,23,Free,2025-02-04 06:57:00,user8@example.com,user8,1036.8,S014,1,20,P1269,Urgent,1296
U00009,TXN100009,West,2026-01-31,Electronics,31014.4,Refunded,Bengaluru,28,Premium,2026-01-31 13:02:00,user9@example.com,user9,3876.8,S062,8,20,P4887,Medium,4846
U00010,TXN100010,East,2025-03-09,Books,11183.4,Failed,Chennai,44,Free,2025-03-09 03:05:00,user10@example.com,user10,2795.85,S037,4,5,P6569,Medium,2943
U00011,TXN100011,South,2025-06-16,Fashion,1883.0,Failed,Mumbai,36,Premium,2025-06-16 05:36:00,user11@example.com,user11,1883.0,S100,1,0,P5804,Low,1883
U00012,TXN100012,West,2025-02-24,Electronics,4928.0,Pending,Chennai,40,Basic,2025-02-24 01:25:00,user12@example.com,user12,4928.0,S059,1,0,P9070,High,4928
U00013,TXN100013,North,2026-04-19,Books,24973.2,Completed,Delhi,48,Free,2026-04-19 21:41:00,user13@example.com,user13,2774.8,S038,9,30,P5638,Urgent,3964
U00014,TXN100014,South,2026-01-10,Grocery,18813.6,Completed,Chennai,22,Free,2026-01-10 02:17:00,user14@example.com,user14,2090.4,S040,9,20,P7593,Urgent,2613
U00015,TXN100015,West,2025-01-10,Sports,12486.0,Refunded,Chennai,68,Premium,2025-01-10 13:18:00,user15@example.com,user15,3121.5,S001,4,25,P5480,Medium,4162
U00016,TXN100016,East,2026-02-14,Grocery,3848.45,Pending,Bengaluru,62,Free,2026-02-14 07:18:00,user16@example.com,user16,3848.45,S005,1,5,P1694,Urgent,4051
U00017,TXN100017,North,2025-10-22,Electronics,5440.0,Failed,Kolkata,44,Free,2025-10-22 16:59:00,user17@example.com,user17,1360.0,S078,4,20,P8309,Medium,1700
U00018,TXN100018,East,2025-07-29,Sports,9246.0,Pending,Mumbai,58,Premium,2025-07-29 19:04:00,user18@example.com,user18,3082.0,S080,3,0,P4917,Urgent,3082
U00019,TXN100019,North,2026-01-05,Electronics,3684.0,Failed,Delhi,63,Basic,2026-01-05 01:33:00,user19@example.com,user19,921.0,S025,4,25,P8005,Low,1228
U00020,TXN100020,North,2025-07-16,Fashion,10846.0,Failed,Kolkata,40,Premium,2025-07-16 02:34:00,user20@example.com,user20,1084.6,S040,10,15,P1638,Medium,1276
U00021,TXN100021,South,2025-10-20,Grocery,1459.5,Failed,Hyderabad,46,Basic,2025-10-20 07:39:00,user21@example.com,user21,1459.5,S098,1,25,P2650,Medium,1946
U00022,TXN100022,West,2025-11-28,Home,4204.8,Pending,Delhi,60,Free,2025-11-28 19:10:00,user22@example.com,user22,1401.6,S086,3,20,P9307,Medium,1752
U00023,TXN100023,West,2025-06-22,Electronics,10880.1,Failed,Jaipur,35,Premium,2025-06-22 21:36:00,user23@example.com,user23,1554.3,S055,7,10,P1041,High,1727
U00024,TXN100024,East,2026-01-04,Books,8677.5,Completed,Kolkata,66,Free,2026-01-04 11:50:00,user24@example.com,user24,1735.5,S009,5,25,P7256,Low,2314
U00025,TXN100025,North,2025-10-07,Home,9878.1,Pending,Chennai,32,Basic,2025-10-07 01:08:00,user25@example.com,user25,1646.35,S088,6,5,P2884,Medium,1733
U00026,TXN100026,East,2025-05-25,Sports,11521.75,Refunded,Mumbai,23,Premium,2025-05-25 14:16:00,user26@example.com,user26,2304.35,S095,5,15,P8367,High,2711
U00027,TXN100027,West,2025-01-23,Sports,14265.6,Completed,Pune,45,Free,2025-01-23 06:17:00,user27@example.com,user27,3566.4,S070,4,20,P3219,High,4458
U00028,TXN100028,West,2025-08-26,Books,20548.5,Refunded,Delhi,62,Free,2025-08-26 00:49:00,user28@example.com,user28,4109.7,S006,5,5,P4173,High,4326
U00029,TXN100029,West,2025-09-25,Electronics,38445.5,Completed,Chennai,19,Free,2025-09-25 12:15:00,user29@example.com,user29,3844.55,S068,10,15,P6155,Low,4523
U00030,TXN100030,South,2025-01-28,Books,31857.3,Completed,Hyderabad,52,Premium,2025-01-28 22:55:00,user30@example.com,user30,3539.7,S056,9,5,P7336,High,3726
