userid,transaction,region,transaction_date,product_category,total_amount,status,city,age,subscription,raw_times,email,username,price,storeid,quantity,discount,product_id,priority,base_price,final_price
U00001,TXN100001,West,2025-06-09,Grocery,5517.0,Refunded,Jaipur,58,Basic,2025-06-09 01:52:00,user1@example.com,user1,2758.5,S068,2,10,P8953,Low,3065.0,3616.7
U00002,TXN100002,West,2025-01-04,Grocery,27689.6,Failed,Pune,65,Basic,2025-01-04 12:59:00,user2@example.com,user2,3461.2,S012,8,15,P2984,Low,4072.0,4804.96
U00003,TXN100003,East,2025-05-23,Fashion,5490.0,Completed,Bengaluru,38,Basic,2025-05-23 22:51:00,user3@example.com,user3,1098.0,S059,5,25,P3255,Urgent,1464.0,1727.52
U00004,TXN100004,East,2025-11-02,Home,2976.0,Completed,Pune,66,Premium,2025-11-02 20:17:00,user4@example.com,user4,744.0,S032,4,20,P2188,Urgent,930.0,1097.4
U00005,TXN100005,North,2025-10-24,Home,1193.4,Refunded,Delhi,52,Basic,2025-10-24 16:17:00,user5@example.com,user5,298.35,S087,4,15,P8060,Medium,351.0,414.18
U00006,TXN100006,South,2025-03-31,Books,1179.8,Pending,Hyderabad,64,Free,2025-03-31 23:07:00,user6@example.com,user6,1179.8,S062,1,15,P8384,High,1388.0,1637.84
U00007,TXN100007,East,2025-01-30,Fashion,8437.5,Completed,Mumbai,20,Basic,2025-01-30 15:24:00,user7@example.com,user7,1687.5,S063,5,10,P4485,Low,1875.0,2212.5
U00008,TXN100008,North,2025-02-04,Sports,1036.8,Pending,Kolkata,23,Free,2025-02-04 06:57:00,user8@example.com,user8,1036.8,S014,1,20,P1269,Urgent,1296.0,1529.28
U00009,TXN100009,West,2026-01-31,Electronics,31014.4,Refunded,Bengaluru,28,Premium,2026-01-31 13:02:00,user9@example.com,user9,3876.8,S062,8,20,P4887,Medium,4846.0,5718.28
U00010,TXN100010,East,2025-03-09,Books,11183.4,Failed,Chennai,44,Free,2025-03-09 03:05:00,user10@example.com,user10,2795.85,S037,4,5,P6569,Medium,2943.0,3472.74
U00011,TXN100011,South,2025-06-16,Fashion,1883.0,Failed,Mumbai,36,Premium,2025-06-16 05:36:00,user11@example.com,user11,1883.0,S100,1,0,P5804,Low,1883.0,2221.94
U00012,TXN100012,West,2025-02-24,Electronics,4928.0,Pending,Chennai,40,Basic,2025-02-24 01:25:00,user12@example.com,user12,4928.0,S059,1,0,P9070,High,4928.0,5815.04
U00013,TXN100013,North,2026-04-19,Books,24973.2,Completed,Delhi,48,Free,2026-04-19 21:41:00,user13@example.com,user13,2774.8,S038,9,30,P5638,Urgent,3964.0,4677.52
U00014,TXN100014,South,2026-01-10,Grocery,18813.6,Completed,Chennai,22,Free,2026-01-10 02:17:00,user14@example.com,user14,2090.4,S040,9,20,P7593,Urgent,2613.0,3083.34
U00015,TXN100015,West,2025-01-10,Sports,12486.0,Refunded,Chennai,68,Premium,2025-01-10 13:18:00,user15@example.com,user15,3121.5,S001,4,25,P5480,Medium,4162.0,4911.16
U00016,TXN100016,East,2026-02-14,Grocery,3848.45,Pending,Bengaluru,62,Free,2026-02-14 07:18:00,user16@example.com,user16,3848.45,S005,1,5,P1694,Urgent,4051.0,4780.18
U00017,TXN100017,North,2025-10-22,Electronics,5440.0,Failed,Kolkata,44,Free,2025-10-22 16:59:00,user17@example.com,user17,1360.0,S078,4,20,P8309,Medium,1700.0,2006.0
U00018,TXN100018,East,2025-07-29,Sports,9246.0,Pending,Mumbai,58,Premium,2025-07-29 19:04:00,user18@example.com,user18,3082.0,S080,3,0,P4917,Urgent,3082.0,3636.76
U00019,TXN100019,North,2026-01-05,Electronics,3684.0,Failed,Delhi,63,Basic,2026-01-05 01:33:00,user19@example.com,user19,921.0,S025,4,25,P8005,Low,1228.0,1449.04
U00020,TXN100020,North,2025-07-16,Fashion,10846.0,Failed,Kolkata,40,Premium,2025-07-16 02:34:00,user20@example.com,user20,1084.6,S040,10,15,P1638,Medium,1276.0,1505.68
U00021,TXN100021,South,2025-10-20,Grocery,1459.5,Failed,Hyderabad,46,Basic,2025-10-20 07:39:00,user21@example.com,user21,1459.5,S098,1,25,P2650,Medium,1946.0,2296.28
U00022,TXN100022,West,2025-11-28,Home,4204.8,Pending,Delhi,60,Free,2025-11-28 19:10:00,user22@example.com,user22,1401.6,S086,3,20,P9307,Medium,1752.0,2067.36
U00023,TXN100023,West,2025-06-22,Electronics,10880.1,Failed,Jaipur,35,Premium,2025-06-22 21:36:00,user23@example.com,user23,1554.3,S055,7,10,P1041,High,1727.0,2037.86
U00024,TXN100024,East,2026-01-04,Books,8677.5,Completed,Kolkata,66,Free,2026-01-04 11:50:00,user24@example.com,user24,1735.5,S009,5,25,P7256,Low,2314.0,2730.52
U00025,TXN100025,North,2025-10-07,Home,9878.1,Pending,Chennai,32,Basic,2025-10-07 01:08:00,user25@example.com,user25,1646.35,S088,6,5,P2884,Medium,1733.0,2044.94
U00026,TXN100026,East,2025-05-25,Sports,11521.75,Refunded,Mumbai,23,Premium,2025-05-25 14:16:00,user26@example.com,user26,2304.35,S095,5,15,P8367,High,2711.0,3198.98
U00027,TXN100027,West,2025-01-23,Sports,14265.6,Completed,Pune,45,Free,2025-01-23 06:17:00,user27@example.com,user27,3566.4,S070,4,20,P3219,High,4458.0,5260.44
U00028,TXN100028,West,2025-08-26,Books,20548.5,Refunded,Delhi,62,Free,2025-08-26 00:49:00,user28@example.com,user28,4109.7,S006,5,5,P4173,High,4326.0,5104.68
U00029,TXN100029,West,2025-09-25,Electronics,38445.5,Completed,Chennai,19,Free,2025-09-25 12:15:00,user29@example.com,user29,3844.55,S068,10,15,P6155,Low,4523.0,5337.14
U00030,TXN100030,South,2025-01-28,Books,31857.3,Completed,Hyderabad,52,Premium,2025-01-28 22:55:00,user30@example.com,user30,3539.7,S056,9,5,P7336,High,3726.0,4396.68
U00031,TXN100031,East,2025-06-15,Sports,29529.85,Pending,Chennai,69,Free,2025-06-15 23:29:00,user31@example.com,user31,4218.55,S033,7,15,P7909,Low,4963.0,5856.34
U00032,TXN100032,North,2026-01-10,Sports,7595.25,Refunded,Delhi,67,Free,2026-01-10 21:14:00,user32@example.com,user32,2531.75,S100,3,5,P8407,Low,2665.0,3144.7
U00033,TXN100033,West,2025-10-08,Books,12975.0,Failed,Jaipur,23,Premium,2025-10-08 18:19:00,user33@example.com,user33,2595.0,S087,5,25,P3248,Urgent,3460.0,4082.8
U00034,TXN100034,East,2025-07-10,Fashion,22146.0,Failed,Hyderabad,38,Free,2025-07-10 10:30:00,user34@example.com,user34,2768.25,S035,8,25,P2791,Urgent,3691.0,4355.38
U00035,TXN100035,South,2025-06-02,Home,4649.4,Refunded,Kolkata,52,Free,2025-06-02 07:44:00,user35@example.com,user35,516.6,S012,9,30,P1917,Urgent,738.0,870.84
U00036,TXN100036,West,2025-04-14,Home,2437.2,Pending,Delhi,45,Free,2025-04-14 23:17:00,user36@example.com,user36,1218.6,S074,2,10,P8204,High,1354.0,1597.72
U00037,TXN100037,North,2025-06-15,Grocery,23093.0,Pending,Bengaluru,46,Free,2025-06-15 20:03:00,user37@example.com,user37,2309.3,S016,10,30,P7506,Urgent,3299.0,3892.82
U00038,TXN100038,East,2025-07-23,Electronics,5882.4,Pending,Jaipur,46,Free,2025-07-23 17:31:00,user38@example.com,user38,2941.2,S045,2,10,P7541,Medium,3268.0,3856.24
U00039,TXN100039,South,2025-01-21,Grocery,15635.1,Pending,Delhi,52,Free,2025-01-21 07:46:00,user39@example.com,user39,2605.85,S053,6,5,P8098,Low,2743.0,3236.74
U00040,TXN100040,South,2025-08-26,Home,5856.0,Refunded,Kolkata,19,Basic,2025-08-26 00:12:00,user40@example.com,user40,2928.0,S004,2,25,P4083,Urgent,3904.0,4606.72
U00041,TXN100041,North,2025-03-10,Electronics,3605.7,Failed,Hyderabad,63,Premium,2025-03-10 00:00:00,user41@example.com,user41,1201.9,S006,3,15,P2784,High,1414.0,1668.52
U00042,TXN100042,North,2026-04-13,Home,3176.25,Refunded,Hyderabad,31,Free,2026-04-13 18:17:00,user42@example.com,user42,453.75,S069,7,25,P6461,Low,605.0,713.9
U00043,TXN100043,East,2025-01-31,Electronics,448.8,Failed,Mumbai,41,Basic,2025-01-31 08:55:00,user43@example.com,user43,149.6,S053,3,15,P1850,High,176.0,207.68
U00044,TXN100044,South,2025-06-10,Home,7216.5,Refunded,Delhi,41,Free,2025-06-10 17:59:00,user44@example.com,user44,721.65,S018,10,15,P1854,Low,849.0,1001.82
U00045,TXN100045,West,2025-04-01,Books,12089.0,Completed,Kolkata,63,Free,2025-04-01 10:50:00,user45@example.com,user45,1208.9,S085,10,30,P1798,High,1727.0,2037.86
U00046,TXN100046,South,2025-01-04,Electronics,2406.4,Failed,Chennai,59,Free,2025-01-04 11:46:00,user46@example.com,user46,2406.4,S039,1,20,P9248,Urgent,3008.0,3549.44
U00047,TXN100047,West,2025-03-30,Books,2783.5,Failed,Mumbai,47,Free,2025-03-30 06:37:00,user47@example.com,user47,2783.5,S022,1,5,P1516,Urgent,2930.0,3457.4
U00048,TXN100048,North,2025-04-06,Home,9659.4,Pending,Jaipur,30,Premium,2025-04-06 04:56:00,user48@example.com,user48,1609.9,S053,6,15,P9375,Low,1894.0,2234.92
U00049,TXN100049,West,2025-09-10,Fashion,23650.2,Pending,Pune,55,Free,2025-09-10 21:40:00,user49@example.com,user49,3378.6,S088,7,10,P8008,Low,3754.0,4429.72
U00050,TXN100050,North,2026-02-12,Fashion,19422.75,Refunded,Delhi,26,Premium,2026-02-12 11:18:00,user50@example.com,user50,3884.55,S092,5,5,P6575,High,4089.0,4825.02
U00051,TXN100051,North,2025-12-03,Home,2263.2,Pending,Bengaluru,55,Premium,2025-12-03 14:56:00,user51@example.com,user51,2263.2,S037,1,20,P8074,Urgent,2829.0,3338.22
U00052,TXN100052,West,2025-08-02,Home,6924.0,Pending,Jaipur,27,Free,2025-08-02 22:38:00,user52@example.com,user52,865.5,S041,8,25,P8435,Medium,1154.0,1361.72
U00053,TXN100053,South,2025-11-12,Grocery,25275.6,Pending,Hyderabad,43,Premium,2025-11-12 23:37:00,user53@example.com,user53,4212.6,S082,6,15,P2727,High,4956.0,5848.08
U00054,TXN100054,East,2025-10-04,Electronics,1544.7,Refunded,Kolkata,18,Premium,2025-10-04 14:10:00,user54@example.com,user54,514.9,S036,3,5,P8008,High,542.0,639.56
U00055,TXN100055,South,2025-08-07,Books,15584.8,Completed,Jaipur,35,Premium,2025-08-07 07:56:00,user55@example.com,user55,1948.1,S007,8,30,P4254,Low,2783.0,3283.94
U00056,TXN100056,West,2025-08-06,Sports,22200.0,Refunded,Bengaluru,66,Basic,2025-08-06 06:26:00,user56@example.com,user56,2775.0,S044,8,25,P2187,Urgent,3700.0,4366.0
U00057,TXN100057,West,2025-05-04,Home,17843.2,Completed,Pune,59,Free,2025-05-04 08:15:00,user57@example.com,user57,2230.4,S049,8,15,P7955,High,2624.0,3096.32
U00058,TXN100058,North,2025-09-05,Home,26390.0,Completed,Jaipur,60,Basic,2025-09-05 22:20:00,user58@example.com,user58,3770.0,S023,7,0,P6910,High,3770.0,4448.6
U00059,TXN100059,West,2026-01-03,Fashion,1387.2,Pending,Mumbai,59,Basic,2026-01-03 13:29:00,user59@example.com,user59,462.4,S013,3,15,P6905,High,544.0,641.92
U00060,TXN100060,South,2025-07-20,Sports,14448.0,Failed,Kolkata,64,Free,2025-07-20 07:29:00,user60@example.com,user60,1444.8,S083,10,30,P8045,Urgent,2064.0,2435.52
U00061,TXN100061,West,2025-10-20,Home,17293.5,Refunded,Mumbai,24,Free,2025-10-20 23:26:00,user61@example.com,user61,2470.5,S016,7,10,P2771,Medium,2745.0,3239.1
U00062,TXN100062,North,2025-09-26,Fashion,10269.0,Refunded,Bengaluru,29,Free,2025-09-26 05:37:00,user62@example.com,user62,1467.0,S040,7,25,P3450,Urgent,1956.0,2308.08
U00063,TXN100063,North,2025-06-04,Home,2986.8,Completed,Chennai,20,Basic,2025-06-04 15:36:00,user63@example.com,user63,497.8,S062,6,5,P7261,Urgent,524.0,618.32
U00064,TXN100064,East,2025-07-29,Books,4054.5,Failed,Chennai,48,Basic,2025-07-29 12:30:00,user64@example.com,user64,675.75,S040,6,25,P6638,Urgent,901.0,1063.18
U00065,TXN100065,South,2025-12-22,Sports,21336.0,Pending,Kolkata,31,Basic,2025-12-22 15:58:00,user65@example.com,user65,3048.0,S014,7,25,P9895,High,4064.0,4795.52
U00066,TXN100066,North,2025-08-13,Home,3162.0,Completed,Delhi,38,Basic,2025-08-13 18:42:00,user66@example.com,user66,790.5,S022,4,25,P4125,Medium,1054.0,1243.72
U00067,TXN100067,South,2026-04-20,Home,889.5,Refunded,Delhi,50,Basic,2026-04-20 09:21:00,user67@example.com,user67,444.75,S098,2,25,P4747,Medium,593.0,699.74
U00068,TXN100068,East,2025-02-01,Home,12331.2,Failed,Kolkata,63,Basic,2025-02-01 10:21:00,user68@example.com,user68,2055.2,S012,6,20,P8681,Medium,2569.0,3031.42
U00069,TXN100069,East,2025-01-03,Sports,9164.7,Failed,Kolkata,70,Free,2025-01-03 10:20:00,user69@example.com,user69,1018.3,S019,9,15,P4537,Urgent,1198.0,1413.64
U00070,TXN100070,North,2025-07-07,Books,5052.8,Refunded,Kolkata,58,Basic,2025-07-07 17:51:00,user70@example.com,user70,2526.4,S072,2,20,P3674,High,3158.0,3726.44
U00071,TXN100071,East,2025-04-07,Fashion,788.5,Completed,Chennai,25,Free,2025-04-07 15:56:00,user71@example.com,user71,788.5,S004,1,5,P7574,High,830.0,979.4
U00072,TXN100072,North,2025-09-21,Sports,11718.0,Refunded,Kolkata,36,Premium,2025-09-21 01:28:00,user72@example.com,user72,2343.6,S015,5,30,P6885,Medium,3348.0,3950.64
U00073,TXN100073,West,2026-01-08,Home,25752.0,Refunded,Mumbai,22,Free,2026-01-08 22:08:00,user73@example.com,user73,3219.0,S028,8,0,P5407,Urgent,3219.0,3798.42
U00074,TXN100074,North,2025-02-11,Fashion,1712.0,Pending,Bengaluru,27,Free,2025-02-11 17:44:00,user74@example.com,user74,1712.0,S094,1,0,P1155,Medium,1712.0,2020.16
U00075,TXN100075,South,2026-01-26,Books,17461.5,Completed,Mumbai,30,Basic,2026-01-26 08:32:00,user75@example.com,user75,3492.3,S087,5,30,P3665,Medium,4989.0,5887.02
U00076,TXN100076,South,2025-12-22,Home,4190.4,Completed,Delhi,69,Basic,2025-12-22 02:01:00,user76@example.com,user76,2095.2,S067,2,10,P4145,High,2328.0,2747.04
U00077,TXN100077,North,2025-01-30,Grocery,11792.0,Refunded,Mumbai,35,Premium,2025-01-30 01:55:00,user77@example.com,user77,2948.0,S030,4,20,P4738,Medium,3685.0,4348.3
U00078,TXN100078,West,2026-04-25,Grocery,3998.7,Completed,Jaipur,20,Basic,2026-04-25 15:18:00,user78@example.com,user78,3998.7,S051,1,10,P6863,High,4443.0,5242.74
U00079,TXN100079,North,2026-02-27,Electronics,38295.0,Failed,Pune,50,Free,2026-02-27 23:57:00,user79@example.com,user79,4255.0,S048,9,0,P6650,Low,4255.0,5020.9
U00080,TXN100080,South,2025-05-02,Electronics,3739.0,Completed,Pune,25,Basic,2025-05-02 15:18:00,user80@example.com,user80,3739.0,S050,1,0,P4905,Urgent,3739.0,4412.02
U00081,TXN100081,South,2025-02-10,Electronics,34656.0,Failed,Hyderabad,21,Free,2025-02-10 12:40:00,user81@example.com,user81,4332.0,S053,8,0,P7245,Urgent,4332.0,5111.76
U00082,TXN100082,East,2025-10-24,Fashion,12720.0,Failed,Delhi,66,Premium,2025-10-24 05:23:00,user82@example.com,user82,3180.0,S046,4,25,P2046,Urgent,4240.0,5003.2
U00083,TXN100083,East,2025-04-27,Grocery,11459.7,Completed,Delhi,64,Free,2025-04-27 00:18:00,user83@example.com,user83,1909.95,S034,6,15,P3274,Low,2247.0,2651.46
U00084,TXN100084,North,2026-04-12,Home,6842.85,Completed,Kolkata,38,Basic,2026-04-12 14:38:00,user84@example.com,user84,2280.95,S097,3,5,P5046,Low,2401.0,2833.18
