customer_id,customer_name,email,city,age,salary
1,Allison Hill,donaldgarcia@example.net,Chicago,19,66048.0
2,Angie Henderson,davisjesse@example.net,Seattle,32,48289.0
3,Cristian Santos,lrobinson@example.com,Chicago,61,101482.0
4,Abigail Shaffer,jpeterson@example.org,Chicago,55,85302.0
5,Gabrielle Davis,howardmaurice@example.com,New York,19,42280.0
6,Monica Herrera,smiller@example.net,,32,96237.0
7,Shannon Ray,williamsjeremy@example.com,New York,53,56062.0
8,Dr. Sharon James,xreid@example.org,Denver,32,88878.0
9,Daniel Adams,lynchgeorge@example.net,Boston,69,30851.0
10,Joel Nelson,gabriellecameron@example.org,Dallas,62,85392.0
11,Andrew Stewart,carl95@example.org,Miami,35,50379.0
12,Jennifer Rocha,ithomas@example.org,Seattle,66,74118.0
13,Kimberly Burgess,zhurst@example.com,Chicago,23,79797.0
14,Zachary Hicks,camposmichelle@example.org,Chicago,40,75082.0
15,Rebecca Henderson,cruzcaitlin@example.com,Boston,69,35695.0
16,Tricia Valencia,frazierdanny@example.net,Austin,52,46361.0
17,Patricia Peterson,ryan70@example.net,Denver,23,102357.0
18,Deborah Mason,williamrodriguez@example.net,Boston,58,111070.0
19,Mark Lynch,nathanielmartin@example.net,Miami,54,55203.0
20,Linda Burns,hickmannatasha@example.com,Chicago,20,116673.0
21,David Bradley,millertodd@example.org,Seattle,67,
22,Kim Martinez,karroyo@example.com,Chicago,32,43238.0
23,Lisa Brandt,jenniferross@example.net,Denver,35,89429.0
24,Jessica Holmes,wrightcaleb@example.org,Miami,28,78520.0
25,Crystal Robinson,zimmermanbrian@example.org,Miami,31,117841.0
26,Shannon Jones,joshuawashington@example.net,Boston,62,119593.0
27,Timothy Duncan,esanchez@example.com,Chicago,56,113227.0
28,Brent Jordan,ujenkins@example.org,Dallas,52,62087.0
29,Victoria Garcia,zchandler@example.org,Dallas,47,79735.0
30,Connor West,dwhite@example.org,Boston,58,103000.0
31,Angela Morton,williamsyvette@example.org,Seattle,61,72504.0
32,Tammy Allison,richardolson@example.com,New York,32,34207.0
33,Carmen Smith,ybaker@example.com,Miami,43,65093.0
34,Michael Cross,smoore@example.org,Chicago,31,104341.0
35,Lauren Daniels,brian97@example.net,Miami,31,115909.0
36,Kim Brown,yorkcasey@example.org,Austin,43,114259.0
37,Cynthia Wilson,bethwilliams@example.org,Austin,27,64718.0
38,Kevin Mills,james53@example.com,Dallas,33,103579.0
39,Michael Evans,sarah10@example.com,Boston,65,106622.0
40,Kristine Garcia,williamanderson@example.com,Denver,55,82350.0
41,Sherry Wood,samueldaniels@example.com,Miami,32,48131.0
42,Victoria Valdez,contrerasangela@example.net,Austin,23,36175.0
43,Shawn Baker,newtoneric@example.com,Chicago,27,112240.0
44,Michelle Harris,william40@example.org,Dallas,68,119192.0
45,Sandra Williams,kellie42@example.net,Denver,56,38326.0
46,Michael Hoffman,jonesnicole@example.org,Denver,42,108104.0
47,Sandra Aguilar,russellwilliams@example.com,Austin,51,62953.0
48,Rebecca Valencia,jason31@example.com,New York,61,45014.0
49,Stacey Russell,sarayoung@example.org,Boston,67,114012.0
50,Rita Keith,whitesandra@example.com,Miami,25,68469.0
51,Sharon Cochran,erik16@example.org,Denver,28,89470.0
52,Courtney Velasquez,ybailey@example.org,New York,64,64522.0
53,Matthew Ross,michelle45@example.net,Dallas,50,43947.0
54,Meghan Anthony,sheila14@example.org,Boston,58,96540.0
55,Victoria Johnson,yreed@example.com,Seattle,27,79009.0
56,William Wilson,jonathanfletcher@example.org,Dallas,52,99514.0
57,Renee Mcdaniel,michaeljones@example.net,New York,56,72487.0
58,Lisa Alvarado,cortezkevin@example.com,Austin,19,44662.0
59,Erika Terry,jamesortega@example.com,Miami,69,70306.0
60,Stephanie Gilbert,richard04@example.com,Seattle,21,61571.0
61,Richard Lawson,steven73@example.net,Chicago,23,93699.0
62,Steven Flynn,donnacampbell@example.net,Chicago,66,99822.0
63,Frances Cardenas,emilywalker@example.org,Dallas,26,116474.0
64,Angel Riggs,gibsonolivia@example.net,Austin,53,51643.0
65,Michael Snyder,dylanwatts@example.org,Boston,51,109507.0
66,Colleen Brock,pwilliams@example.org,Denver,31,100686.0
67,Robert Contreras,stephanie79@example.net,Seattle,63,70857.0
68,Jessica Meadows,vmerritt@example.com,Denver,60,115180.0
69,Paul Larsen,katie87@example.net,Miami,46,97839.0
70,Jeremiah Reeves,josephflores@example.net,Austin,25,62493.0
71,Chris Reyes,jasminebrown@example.com,Seattle,22,74313.0
